Model Name,CloudSwitch L2Plus 8 PoE,CloudSwitch L2Plus 8 Full PoE ,CloudSwitch L2Plus 24 ,CloudSwitch L2Plus 24 ,CloudSwitch L2Plus 24 PoE,CloudSwitch L2Plus 24 Full PoE ,CloudSwitch L2Plus 48 ,CloudSwitch L2Plus 48 PoE ,CloudSwitch L2Plus 48 Full PoE,CloudSwitch MGPlus 8,CloudSwitch MGPlus 8 Full PoE,CloudSwitch MGPlus 8 Full PoE,CloudSwitch MGPlus 24 Full PoE ,CloudSwitch MGPlus 48 Full PoE ,CloudSwitch Aggregate 8XG,CloudSwitch Aggregate 8XG Full PoE,CloudSwitch Aggregate 12,,,,,,,,,,,
Model #,ECS1008P,ECS1112FP,ECS1528T,ECS1528,ECS1528P,ECS1528FP,ECS1552,ECS1552P,ECS1552FP,ECS2512,ECS2510FP,ECS2512FP,ECS2528FP,ECS2552FP,ECS5512,ECS5512FP,ECS5512F,,,,,,,,,,,
Technical Specifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Standards,"802.3 10Base-T Ethernet
 802.3u 100Base-TX Ethernet
 802.3ab 1000Base-T Ethernet
 802.3x Full-Duplex Flow Control","802.3 10Base-T Ethernet
 802.3u 100Base-TX Ethernet
 802.3ab 1000Base-T Ethernet
 802.3x Full-Duplex Flow Control","802.3 10Base-T Ethernet
 802.3u 100Base-TX Ethernet
 802.3ab 1000Base-T Ethernet
 802.3x Full-Duplex Flow Control","802.3 10Base-T Ethernet
 802.3u 100Base-TX Ethernet
 802.3ab 1000Base-T Ethernet
 802.3x Full-Duplex Flow Control","802.3 10Base-T Ethernet
 802.3u 100Base-TX Ethernet
 802.3ab 1000Base-T Ethernet
 802.3x Full-Duplex Flow Control","802.3 10Base-T Ethernet
 802.3u 100Base-TX Ethernet
 802.3ab 1000Base-T Ethernet
 802.3x Full-Duplex Flow Control","802.3 10Base-T Ethernet
 802.3u 100Base-TX Ethernet
 802.3ab 1000Base-T Ethernet
 802.3x Full-Duplex Flow Control","802.3 10Base-T Ethernet
 802.3u 100Base-TX Ethernet
 802.3ab 1000Base-T Ethernet
 802.3x Full-Duplex Flow Control","802.3 10Base-T Ethernet
 802.3u 100Base-TX Ethernet
 802.3ab 1000Base-T Ethernet
 802.3x Full-Duplex Flow Control","802.3u 100Base-TX Ethernet
 802.3ab 1000Base-T Ethernet
802.3bz 2.5G/5GBase-T Ethernet
 802.3x Full-Duplex Flow Control","802.3u 100Base-TX Ethernet
 802.3ab 1000Base-T Ethernet
802.3bz 2.5G/5GBase-T Ethernet
 802.3x Full-Duplex Flow Control","802.3u 100Base-TX Ethernet
 802.3ab 1000Base-T Ethernet
802.3bz 2.5G/5GBase-T Ethernet
 802.3x Full-Duplex Flow Control","802.3u 100Base-TX Ethernet
 802.3ab 1000Base-T Ethernet
802.3bz 2.5G/5GBase-T Ethernet
 802.3x Full-Duplex Flow Control","802.3u 100Base-TX Ethernet
 802.3ab 1000Base-T Ethernet
802.3bz 2.5G/5GBase-T Ethernet
 802.3x Full-Duplex Flow Control","802.3u 100Base-TX Ethernet
 802.3ab 1000Base-T Ethernet
802.3bz 2.5G/5GBase-T Ethernet
 802.3x Full-Duplex Flow Control","802.3u 100Base-TX Ethernet
 802.3ab 1000Base-T Ethernet
802.3bz 2.5G/5GBase-T Ethernet
 802.3x Full-Duplex Flow Control","802.3u 100Base-TX Ethernet
 802.3ab 1000Base-T Ethernet
802.3bz 2.5G/5GBase-T Ethernet
 802.3x Full-Duplex Flow Control",,,,,,,,,,,
"Network Port  -
Gigabit Ethernet Ports",8x10/100/1000 Mbps Ports ,10x10/100/1000 Mbps Ports ,24x10/100/1000 Mbps Ports ,24x10/100/1000 Mbps Ports ,24x10/100/1000 Mbps Ports ,24x10/100/1000 Mbps Ports ,48x10/100/1000 Mbps Ports ,48x10/100/1000 Mbps Ports,48x10/100/1000 Mbps Ports,-,-,-,16x10/100/1000 Mbps Ports,32x10/100/1000 Mbps Ports,-,-,-,,,,,,,,,,,
"Network Port - 
Multi-Gigabit Ethernet Ports",-,-,-,-,-,-,-,-,-,8x100/1000/2500 Mbps Ports,8x100/1000/2500 Mbps Ports,8x100/1000/2500 Mbps Ports,8x 100/1000/2500 Mbps Ports,16x 100/1000/2500 Mbps Ports,8x100/1000/2500/5000/10000 Mbps Ports,8x100/1000/2500/5000/10000 Mbps Ports,-,,,,,,,,,,,
"Network Port - 
SFP Ports",-,2x SFP Ports,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
"Network Port - 
SFP+ Ports/",-,-,4x SFP+ Ports,4x SFP+ Ports,4x SFP+ Ports,4x SFP+ Ports,4x SFP+ Ports,4x SFP+ Ports,4x SFP+ Ports,4x SFP+ Ports,2x SFP+ Ports,4x SFP+ Ports,4x SFP+ Ports,4x SFP+ Ports,4x SFP+ Ports,4x SFP+ Ports,12x SFP+ Ports,,,,,,,,,,,
Network Port - RJ45 Ports,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
Switching Capacity,16Gbps,24Gbps,128Gbps,128Gbps,128Gbps,128Gbps,176Gbps,176Gbps,176Gbps,120Gbps,80Gbps,120Gbps,152Gbps,224Gbps,240Gbps,240Gbps,240Gbps,,,,,,,,,,,
SDRAM,256MB,256MB,512MB,512MB,512MB,512MB,512MB,512MB,512MB,512MB,512MB,512MB,512MB,512MB,512MB,512MB,512MB,,,,,,,,,,,
Flash Memory,32MB,32MB,128MB,128MB,128MB,128MB,128MB,128MB,128MB,128MB,128MB,128MB,128MB,128MB,128MB,128MB,128MB,,,,,,,,,,,
PoE Capable Ports,Ports 1-8 (802.3af/at),Ports 1-8 (802.3af/at),-,-,Ports 1-24  (802.3af/at),Ports 1-24  (802.3af/at),-,Ports 1-48  (802.3af/at),Ports 1-48  (802.3af/at),-,Ports 1-8  (802.3af/at),Ports 1-8  (802.3af/at/bt),Ports 1-24  (802.3af/at),Ports 1-48  (802.3af/at),-,Ports 1-8  (up to 90W),-,,,,,,,,,,,
Total PoE Budget,55W,130W,-,-,240w,410w,-,410w,740w,-,240w,240w,410w,740w,-,410w,-,,,,,,,,,,,
Power Source,"100 to 240 VAC, 50/60Hz","100 to 240 VAC, 50/60Hz","100 to 240 VAC, 50/60Hz","100 to 240 VAC, 50/60Hz","100 to 240 VAC, 50/60Hz","100 to 240 VAC, 50/60Hz","100 to 240 VAC, 50/60Hz","100 to 240 VAC, 50/60Hz","100 to 240 VAC, 50/60Hz","100 to 240 VAC, 50/60Hz","100 to 240 VAC, 50/60Hz","100 to 240 VAC, 50/60Hz","100 to 240 VAC, 50/60Hz","100 to 240 VAC, 50/60Hz","100 to 240 VAC, 50/60Hz","100 to 240 VAC, 50/60Hz","100 to 240 VAC, 50/60Hz",,,,,,,,,,,
Physical Interface,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 System Indicators,"Power LED
Fault LED
PoE Max LED
LAN Mode LED
PoE Mode LED","Power LED
Fault LED
PoE Max LED
LAN Mode LED
PoE Mode LED","Power LED
Fault LED
","Power LED
Fault LED
","Power LED
Fault LED
PoE Max LED
LAN Mode LED
PoE Mode LED","Power LED
Fault LED
PoE Max LED
LAN Mode LED
PoE Mode LED","Power LED
Fault LED","Power LED
Fault LED
PoE Max LED
LAN Mode LED
PoE Mode LED","Power LED
Fault LED
PoE Max LED
LAN Mode LED
PoE Mode LED","Power LED
Fault LED","Power LED
Fault LED
PoE Max LED
LAN Mode LED
PoE Mode LED","Power LED
Fault LED
PoE Max LED
LAN Mode LED
PoE Mode LED","Power LED
Fault LED
PoE Max LED
LAN Mode LED
PoE Mode LED","Power LED
Fault LED
PoE Max LED
LAN Mode LED
PoE Mode LED","Power LED
Fault LED","Power LED
Fault LED
PoE Max LED
LAN Mode LED
PoE Mode LED","Power LED
Fault LED",,,,,,,,,,,
Port Indicators,Link/Activity/Speed (per Ethernet port),"Link/Activity/Speed (per Ethernet port)
Link/Activity/Speed (per SFP slot) ","Link/Activity/Speed (per Ethernet port)
Link/Activity/Speed (per SFP slot) ","Link/Activity/Speed (per Ethernet port)
Link/Activity/Speed (per SFP slot) ","Link/Activity/Speed (per Ethernet port)
Link/Activity/Speed (per SFP slot)","Link/Activity/Speed (per Ethernet port)
Link/Activity/Speed (per SFP slot)","Link/Activity/Speed (per Ethernet port)
Link/Activity/Speed (per SFP slot)","Link/Activity/Speed (per Ethernet port)
Link/Activity/Speed (per SFP slot)","Link/Activity/Speed (per Ethernet port)
Link/Activity/Speed (per SFP slot)","Link/Activity/Speed (per Ethernet port)
Link/Activity/Speed (per SFP slot)","Link/Activity/Speed (per Ethernet port)
Link/Activity/Speed (per SFP slot)","Link/Activity/Speed (per Ethernet port)
Link/Activity/Speed (per SFP slot)","Link/Activity/Speed (per Ethernet port)
Link/Activity/Speed (per SFP slot)","Link/Activity/Speed (per Ethernet port)
Link/Activity/Speed (per SFP slot)","Link/Activity/Speed (per Ethernet port)
Link/Activity/Speed (per SFP slot)","Link/Activity/Speed (per Ethernet port)
Link/Activity/Speed (per SFP slot)",Link/Activity/Speed (per SFP slot),,,,,,,,,,,
L3 Software Features,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multiple IP Interface,20 IPv6 address,20 IPv6 address,20 IPv6 address,20 IPv6 address,20 IPv6 address,20 IPv6 address,20 IPv6 address,20 IPv6 address,20 IPv6 address,20 IPv6 address,20 IPv6 address,20 IPv6 address,20 IPv6 address,20 IPv6 address,20 IPv6 address,20 IPv6 address,20 IPv6 address,,,,,,,,,,,
ARP Table,Max. 192 ARP entries,Max. 192 ARP entries,Max. 192 ARP entries,Max. 192 ARP entries,Max. 192 ARP entries,Max. 192 ARP entries,Max. 192 ARP entries,Max. 192 ARP entries,Max. 192 ARP entries,Max. 192 ARP entries,Max. 192 ARP entries,Max. 192 ARP entries,Max. 192 ARP entries,"
Max. 192 ARP entries","
Max. 192 ARP entries","
Max. 192 ARP entries","
Max. 192 ARP entries",,,,,,,,,,,
IPv4 Static Route,Max. 63 entries,Max. 63 entries,Max. 63 entries,Max. 63 entries,Max. 63 entries,Max. 63 entries,Max. 63 entries,Max. 63 entries,Max. 63 entries,Max. 63 entries,Max. 63 entries,Max. 63 entries,Max. 63 entries,Max. 63 entries,Max. 63 entries,Max. 63 entries,Max. 63 entries,,,,,,,,,,,
IPv6 Static Route,Max. 21 entries,Max. 21 entries,Max. 21 entries,Max. 21 entries,Max. 21 entries,Max. 21 entries,Max. 21 entries,Max. 21 entries,Max. 21 entries,Max. 21 entries,Max. 21 entries,Max. 21 entries,Max. 21 entries,Max. 21 entries,Max. 21 entries,Max. 21 entries,Max. 21 entries,,,,,,,,,,,
L2 Software Features,,,,,,,,,,,,,,,,,,,,,,,,,,,,
